id,brand,name,display_size,main_camera,selfie_camera,chipset,storage_and_ram,battary,price
722,Apple,iPad mini (2019),"['7.9', 'inches,', '193.3', 'cm2']","['Single', '8', 'MP,', 'f/2.4,', '32mm', '(standard),', '1.12µm,', 'AF']","['Single', '7', 'MP,', 'f/2.2,', '31mm', '(standard)']","['Apple', 'A12', 'Bionic', '(7', 'nm)']","['64GB', '3GB', 'RAM,', '256GB', '3GB', 'RAM']","['Non-removable', 'Li-Ion', '5124', 'mAh', 'battery', '(19.1', 'Wh)']","['About', '440', 'EUR']"
723,Apple,iPad mini 2,"['7.9', 'inches,', '193.3', 'cm2']","['Single', '5', 'MP,', 'f/2.4,', '33mm', '(standard),', 'AF']","['Single', '1.2', 'MP']","['Apple', 'A7', '(28', 'nm)']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM,', '128G...']","['Non-removable', 'Li-Po', '6470', 'mAh', 'battery', '(24.3', 'Wh)']",NaN
724,Apple,iPad mini 3,"['7.9', 'inches,', '193.3', 'cm2']","['Single', '5', 'MP,', 'f/2.4,', '32mm', '(standard),', 'AF']","['Single', '1.2', 'MP']","['Apple', 'A7', '(28', 'nm)']","['16GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM,', '128GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '6470', 'mAh', 'battery', '(24.3', 'Wh)']",NaN
725,Apple,iPad mini 4 (2015),"['7.9', 'inches,', '193.3', 'cm2']","['Single', '8', 'MP,', 'f/2.4,', '32mm', '(standard),', '1.12µm,', 'AF']","['Single', '1.2', 'MP,', 'f/2.2,', '31mm', '(standard)']","['Apple', 'A8', '(20', 'nm)']","['16GB', '2GB', 'RAM,', '32GB', '2GB', 'RAM,', '64GB', '2GB', 'RAM,', '128G...']","['Non-removable', 'Li-Ion', '5124', 'mAh', 'battery', '(19.1', 'Wh)']","['About', '400', 'EUR']"
726,Apple,iPad mini Wi-Fi,"['7.9', 'inches,', '193.3', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '1.2', 'MP']","['Apple', 'A5', '(45', 'nm)']","['16GB', '512MB', 'RAM,', '32GB', '512MB', 'RAM,', '64GB', '512MB', 'RAM']","['Non-removable', 'Li-Po', '4490', 'mAh', 'battery', '(16.7', 'Wh)']",NaN
727,Apple,iPad mini Wi-Fi + Cellular,"['7.9', 'inches,', '193.3', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '1.2', 'MP']","['Apple', 'A5', '(45', 'nm)']","['16GB', '512MB', 'RAM,', '32GB', '512MB', 'RAM,', '64GB', '512MB', 'RAM']","['Non-removable', 'Li-Po', '4490', 'mAh', 'battery', '(16.7', 'Wh)']","['About', '200', 'EUR']"
728,Apple,iPad Pro 10.5 (2017),"['10.5', 'inches,', '341.4', 'cm2']","['Single', '12', 'MP,', 'f/1.8,', '1/3"",', 'PDAF,', 'OIS']","['Single', '7', 'MP,', 'f/2.2,', '32mm', '(standard)']","['Apple', 'A10X', 'Fusion', '(10', 'nm)']","['64GB', '4GB', 'RAM,', '256GB', '4GB', 'RAM,', '512GB', '4GB', 'RAM']","['Non-removable', 'Li-Ion', '8134', 'mAh', 'battery', '(30.8', 'Wh)']","['About', '300', 'EUR']"
729,Apple,iPad Pro 11,"['11.0', 'inches,', '366.5', 'cm2']","['Single', '12', 'MP,', 'f/1.8,', '29mm', '(standard),', '1/3"",', '1.22µm,', 'PDAF']","['Single', '7', 'MP,', 'f/2.2,', '32mm', '(standard)']","['Apple', 'A12X', 'Bionic', '(7', 'nm)']","['64GB', '4GB', 'RAM,', '256GB', '4GB', 'RAM,', '512GB', '4GB', 'RAM,', '1T...']","['Non-removable', 'Li-Po', '7812', 'mAh', 'battery', '(29.45', 'Wh)']",NaN
730,Apple,iPad Pro 12.9 (2015),"['12.9', 'inches,', '519.2', 'cm2']","['Single', '8', 'MP,', 'f/2.4,', '31mm', '(standard),', '1.12µm,', 'AF']","['Single', '1.2', 'MP']","['Apple', 'A9X', '(16', 'nm)']","['32GB', '4GB', 'RAM,', '128GB', '4GB', 'RAM,', '256GB', '4GB', 'RAM']","['Non-removable', 'Li-Ion', '10,307', 'mAh', 'battery', '(38.8', 'Wh)']",NaN
731,Apple,iPad Pro 12.9 (2017),"['12.9', 'inches,', '515.3', 'cm2']","['Single', '12', 'MP,', 'f/1.8,', '1/3"",', 'PDAF,', 'OIS']","['Single', '7', 'MP,', 'f/2.2,', '32mm', '(standard)']","['Apple', 'A10X', 'Fusion', '(10', 'nm)']","['64GB', '4GB', 'RAM,', '256GB', '4GB', 'RAM,', '512GB', '4GB', 'RAM']","['Non-removable', 'Li-Ion', '10,891', 'mAh', 'battery', '(41', 'Wh)']",NaN
732,Apple,iPad Pro 12.9 (2018),"['12.9', 'inches,', '515.3', 'cm2']","['Single', '12', 'MP,', 'f/1.8,', '29mm', '(standard),', '1/3"",', '1.22µm,', 'PDAF']","['Single', '7', 'MP,', 'f/2.2,', '32mm', '(standard)']","['Apple', 'A12X', 'Bionic', '(7', 'nm)']","['64GB', '4GB', 'RAM,', '256GB', '4GB', 'RAM,', '512GB', '4GB', 'RAM,', '1T...']","['Non-removable', 'Li-Po', '9720', 'mAh', 'battery', '(36.71', 'Wh)']",NaN
733,Apple,iPad Pro 9.7 (2016),"['9.7', 'inches,', '291.4', 'cm2']","['Single', '12', 'MP,', 'f/2.2,', '29mm', '(standard),', '1/3"",', '1.22µm,', 'PDAF']","['Single', '5', 'MP,', 'f/2.2,', '31mm', '(standard)']","['Apple', 'A9X', '(16', 'nm)']","['32GB', '2GB', 'RAM,', '128GB', '2GB', 'RAM,', '256GB', '2GB', 'RAM']","['Non-removable', 'Li-Ion', '7306', 'mAh', 'battery', '(27.9', 'Wh)']",NaN
